Row_ID,Order_ID,Product_ID,Category,Sub_Category,Segment
42433,AG-2011-2040,OFF-TEN-10000025,Office Supplies,Storage,Consumer
22253,IN-2011-47883,OFF-SU-10000618,Office Supplies,Supplies,Consumer
48883,HU-2011-1220,OFF-TEN-10001585,Office Supplies,Storage,Consumer
11731,IT-2011-3647632,OFF-PA-10001492,Office Supplies,Paper,Home Office
22255,IN-2011-47883,FUR-FU-10003447,Furniture,Furnishings,Consumer
22254,IN-2011-47883,OFF-PA-10001968,Office Supplies,Paper,Consumer
21613,IN-2011-30733,TEC-CO-10002316,Technology,Copiers,Consumer
34662,CA-2011-115161,FUR-BO-10003966,Furniture,Bookcases,Consumer
44508,AO-2011-1390,OFF-FEL-10001541,Office Supplies,Storage,Corporate
23688,ID-2011-56493,OFF-ST-10002161,Office Supplies,Storage,Corporate
25293,IN-2011-36074,OFF-AP-10001254,Office Supplies,Appliances,Corporate
8483,US-2011-118892,OFF-AP-10002317,Office Supplies,Appliances,Corporate
41445,IR-2011-6550,FUR-ADV-10002601,Furniture,Furnishings,Consumer
16727,ES-2011-5268439,OFF-AR-10001529,Office Supplies,Art,Corporate
21615,IN-2011-30733,OFF-SU-10000484,Office Supplies,Supplies,Consumer
8484,US-2011-118892,TEC-AC-10001221,Technology,Accessories,Corporate
19796,ES-2011-5460465,OFF-AR-10000980,Office Supplies,Art,Consumer
21614,IN-2011-30733,OFF-BI-10003012,Office Supplies,Binders,Consumer
21616,IN-2011-30733,OFF-LA-10001292,Office Supplies,Labels,Consumer
16726,ES-2011-5268439,OFF-EN-10004597,Office Supplies,Envelopes,Corporate
14413,ES-2011-2205486,OFF-BI-10001249,Office Supplies,Binders,Consumer
14414,ES-2011-2205486,OFF-BI-10001717,Office Supplies,Binders,Consumer
8482,US-2011-118892,OFF-BI-10000719,Office Supplies,Binders,Corporate
44228,CA-2011-1800,OFF-FEL-10001405,Office Supplies,Storage,Consumer
13130,ES-2011-1705541,FUR-BO-10000259,Furniture,Bookcases,Corporate
48599,UP-2011-3730,TEC-LOG-10003896,Technology,Accessories,Consumer
15218,ES-2011-3893444,OFF-AP-10002568,Office Supplies,Appliances,Consumer
37844,CA-2011-113880,FUR-CH-10000863,Furniture,Chairs,Home Office
44230,CA-2011-1800,FUR-HAR-10001792,Furniture,Chairs,Consumer
13131,ES-2011-1705541,FUR-CH-10002830,Furniture,Chairs,Corporate
48593,UP-2011-3730,OFF-FEL-10002867,Office Supplies,Storage,Consumer
21917,IN-2011-59986,TEC-MA-10002520,Technology,Machines,Consumer
31454,CA-2011-104269,FUR-CH-10004063,Furniture,Chairs,Consumer
48595,UP-2011-3730,TEC-SHA-10004874,Technology,Copiers,Consumer
39607,CA-2011-168312,FUR-TA-10001866,Furniture,Tables,Consumer
13132,ES-2011-1705541,OFF-AR-10004151,Office Supplies,Art,Corporate
39245,CA-2011-131009,FUR-CH-10001270,Furniture,Chairs,Consumer
