Row_ID,Sales,Quantity,Profit,cost_price,Months,years
42433,408.3,2,106.14,302.16,1,2011
22253,120.366,3,36.036,84.33,1,2011
48883,66.12,4,29.64,36.48,1,2011
11731,44.865,3,-26.055,70.92,1,2011
22255,113.67,5,37.77,75.9,1,2011
22254,55.242,2,15.342,39.9,1,2011
21613,285.78,2,71.4,214.38,1,2011
34662,290.666,2,3.4196,287.2464,1,2011
44508,206.4,1,92.88,113.52,1,2011
23688,162.72,3,68.31,94.41,1,2011
25293,352.35,5,137.4,214.95,1,2011
8483,400.704,2,20.024,380.68,1,2011
41445,309.6,6,148.5,161.1,1,2011
16727,139.65,5,15.3,124.35,1,2011
21615,40.68,3,11.79,28.89,1,2011
8484,81.984,2,-19.136,101.12,1,2011
19796,78.3,3,20.34,57.96,1,2011
21614,22.65,5,9.6,13.05,1,2011
21616,20.34,3,9.9,10.44,1,2011
16726,21.39,1,0,21.39,1,2011
14413,21.06,3,10.53,10.53,1,2011
14414,11.82,2,4.2,7.62,1,2011
8482,9.576,6,-0.984,10.56,1,2011
44228,551.16,4,71.64,479.52,1,2011
13130,1314.45,3,341.73,972.72,1,2011
48599,1470.78,6,264.6,1206.18,1,2011
15218,364.416,8,45.456,318.96,1,2011
37844,634.116,6,-172.1172,806.2332,1,2011
44230,246.48,4,105.96,140.52,1,2011
13131,704.55,5,288.75,415.8,1,2011
48593,1244.16,6,211.5,1032.66,1,2011
21917,214.758,2,7.158,207.6,1,2011
31454,457.568,2,51.4764,406.0916,1,2011
48595,587.7,2,123.36,464.34,1,2011
39607,376.509,3,-43.0296,419.5386,1,2011
13132,194.64,4,34.92,159.72,1,2011
39245,362.25,6,0,362.25,1,2011
44502,162.84,2,76.5,86.34,1,2011
44503,115.74,2,30.06,85.68,1,2011
44229,493.2,4,123.24,369.96,1,2011
14536,106.8,4,29.88,76.92,1,2011
48597,266.25,1,79.86,186.39,1,2011
21443,351.75,7,59.64,292.11,1,2011
26925,238.929,2,62.169,176.76,1,2011
26926,109.1853,9,-74.4147,183.6,1,2011
11106,151.362,2,-5.058,156.42,1,2011
30176,91.872,1,-45.948,137.82,1,2011
48591,196.74,1,86.55,110.19,1,2011
15219,117.504,3,36.684,80.82,1,2011
39606,137.352,3,8.5845,128.7675,1,2011
44501,98.94,2,15.78,83.16,1,2011
15220,63.36,3,23.76,39.6,1,2011
39247,129.552,3,-22.6716,152.2236,1,2011
39246,63.552,6,-34.9536,98.5056,1,2011
48594,221.16,2,15.48,205.68,1,2011
44227,30.48,1,2.73,27.75,1,2011
12530,46.53,1,12.54,33.99,1,2011
21919,24.354,1,8.904,15.45,1,2011
30177,23.868,3,-7.632,31.5,1,2011
48598,61.74,6,17.82,43.92,1,2011
13133,37.08,3,10.35,26.73,1,2011
12529,146.52,12,0,146.52,1,2011
12531,102.438,2,35.238,67.2,1,2011
44225,12.36,1,2.46,9.9,1,2011
44226,11.76,1,5.64,6.12,1,2011
48592,48.45,1,12.09,36.36,1,2011
39244,18.84,5,-3.5325,22.3725,1,2011
37845,17.472,3,5.6784,11.7936,1,2011
44500,13.32,2,5.46,7.86,1,2011
48590,16.53,1,7.41,9.12,1,2011
21918,12.636,2,-1.164,13.8,1,2011
22736,21.546,6,4.266,17.28,1,2011
15299,17.82,2,3.18,14.64,1,2011
48596,31.14,2,14.28,16.86,1,2011
50129,25.317,1,-28.713,54.03,1,2011
37010,5.94,3,1.6038,4.3362,1,2011
15978,496.584,6,-289.836,786.42,1,2011
11954,295.92,6,32.4,263.52,1,2011
22377,567.6,5,0,567.6,1,2011
11956,157.95,3,69.48,88.47,1,2011
592,138.696,2,-25.464,164.16,1,2011
22029,83.691,2,30.471,53.22,1,2011
3683,85.536,4,-47.104,132.64,1,2011
11955,123.12,3,50.4,72.72,1,2011
594,80.064,2,-53.376,133.44,1,2011
2464,47.56,1,10.92,36.64,1,2011
596,67.608,3,-29.352,96.96,1,2011
591,121.5,5,-48.6,170.1,1,2011
593,44.94,5,0.74,44.2,1,2011
595,20.112,2,-1.688,21.8,1,2011
22376,43.8,5,-13.2,57,1,2011
32669,29.6,2,14.8,14.8,1,2011
22028,25.344,2,-6.036,31.38,1,2011
2465,17.8,5,0.5,17.3,1,2011
39250,66.96,4,2.6784,64.2816,1,2011
3684,10.944,4,-3.136,14.08,1,2011
2463,15.28,2,1.96,13.32,1,2011
32670,17.088,4,5.5536,11.5344,1,2011
39251,6.24,2,3.0576,3.1824,1,2011
22375,10.08,4,-9.12,19.2,1,2011
590,8.784,3,-4.836,13.62,1,2011
21617,1037.7096,8,298.5096,739.2,1,2011
15780,1029.375,5,-247.125,1276.5,1,2011
31544,1503.25,5,496.0725,1007.1775,1,2011
33498,881.93,7,229.3018,652.6282,1,2011
31541,2001.86,7,580.5394,1421.3206,1,2011
16113,805.56,14,185.22,620.34,1,2011
5434,482.48,2,130.24,352.24,1,2011
16114,449.64,4,58.44,391.2,1,2011
8431,389.48,7,23.24,366.24,1,2011
16115,512.19,9,209.79,302.4,1,2011
8767,222.56,2,109.04,113.52,1,2011
8136,90.3,5,31.6,58.7,1,2011
13637,211.803,2,69.723,142.08,1,2011
47598,109.104,2,-106.416,215.52,1,2011
16342,140.4,6,8.28,132.12,1,2011
2730,50.8,2,22.32,28.48,1,2011
31604,289.2,6,83.868,205.332,1,2011
10326,102.54,2,35.88,66.66,1,2011
40446,138.56,4,66.5088,72.0512,1,2011
30911,58.104,2,6.744,51.36,1,2011
16343,57.6,2,25.92,31.68,1,2011
31542,166.72,2,41.68,125.04,1,2011
50987,58.83,1,6.45,52.38,1,2011
50989,48.48,1,6.3,42.18,1,2011
40447,65.52,5,12.376,53.144,1,2011
21618,214.3791,3,35.1891,179.19,1,2011
31543,47.88,6,23.94,23.94,1,2011
21192,62.7,5,9.9,52.8,1,2011
47600,12.72,4,-18.48,31.2,1,2011
47599,10.116,1,-10.644,20.76,1,2011
47597,20.712,1,-11.928,32.64,1,2011
15778,27.99,2,-9.57,37.56,1,2011
33497,22.2,6,9.102,13.098,1,2011
31545,25.92,4,12.4416,13.4784,1,2011
15779,25.23,1,-5.58,30.81,1,2011
18055,22.14,2,6.84,15.3,1,2011
44800,21.18,2,5.88,15.3,1,2011
31603,45.48,3,20.9208,24.5592,1,2011
44799,10.86,1,4.32,6.54,1,2011
50988,6.99,1,3.42,3.57,1,2011
25451,1888.236,6,-161.964,2050.2,1,2011
32615,575.92,2,71.99,503.93,1,2011
25452,622.86,2,-62.34,685.2,1,2011
2107,138.82,11,56.76,82.06,1,2011
2109,463.44,4,120.48,342.96,1,2011
2108,61.84,2,8,53.84,1,2011
12319,34.02,2,14.28,19.74,1,2011
50374,29.268,2,-55.632,84.9,1,2011
32012,19.92,5,6.972,12.948,1,2011
50375,5.148,2,-9.312,14.46,1,2011
32616,5.184,6,-3.6288,8.8128,1,2011
22530,1157.58,6,254.52,903.06,1,2011
22532,516.96,3,165.42,351.54,1,2011
44795,1503.744,8,-1842.096,3345.84,1,2011
42196,922.86,2,9.18,913.68,1,2011
19481,270.378,3,75.078,195.3,1,2011
19084,217.2,5,21.6,195.6,1,2011
49401,248.64,4,19.8,228.84,1,2011
44045,99.48,2,23.82,75.66,1,2011
49398,279.21,1,0,279.21,1,2011
19087,99.252,2,9.912,89.34,1,2011
41775,40.158,2,-89.742,129.9,1,2011
19086,80.43,7,0.63,79.8,1,2011
22531,52.47,3,11.52,40.95,1,2011
27409,253.3635,1,-35.0865,288.45,1,2011
48465,196.02,6,90,106.02,1,2011
19085,53.4,2,14.94,38.46,1,2011
51033,90.234,6,-147.546,237.78,1,2011
41772,38.367,1,-74.193,112.56,1,2011
49400,85.02,2,13.56,71.46,1,2011
27408,102.762,4,1.842,100.92,1,2011
33137,78.304,2,29.364,48.94,1,2011
33136,62.92,1,10.2245,52.6955,1,2011
44792,40.704,4,-51.936,92.64,1,2011
33135,44.128,4,12.1352,31.9928,1,2011
46418,44.088,1,-46.302,90.39,1,2011
33469,19.752,3,6.9132,12.8388,1,2011
49399,24,2,0.96,23.04,1,2011
41773,8.973,1,-8.997,17.97,1,2011
27410,24.651,3,-19.359,44.01,1,2011
46170,13.26,1,6.09,7.17,1,2011
41774,3.321,1,-4.329,7.65,1,2011
48466,13.38,1,3.21,10.17,1,2011
42197,11.73,1,5.37,6.36,1,2011
41694,16.116,1,-19.344,35.46,1,2011
33134,17.544,3,5.9211,11.6229,1,2011
50866,13.14,2,5.22,7.92,1,2011
44794,10.416,1,-6.774,17.19,1,2011
33707,5.68,2,1.917,3.763,1,2011
44793,7.884,1,-10.656,18.54,1,2011
41776,1.602,1,-1.578,3.18,1,2011
27369,1429.05,7,371.49,1057.56,1,2011
18577,1232.88,4,135.6,1097.28,1,2011
27371,767.52,6,45.9,721.62,1,2011
27372,1100.16,6,175.86,924.3,1,2011
3788,182.88,9,3.6,179.28,1,2011
27370,473.61,1,142.08,331.53,1,2011
14029,243,4,119.04,123.96,1,2011
39539,357,3,57.12,299.88,1,2011
46208,137.94,1,6.87,131.07,1,2011
5460,348.36,2,5.8,342.56,1,2011
5461,185.568,1,-6.192,191.76,1,2011
30441,87.9,2,21.96,65.94,1,2011
9045,125.22,3,40.02,85.2,1,2011
8048,77.5,5,3.8,73.7,1,2011
34491,31.104,6,10.8864,20.2176,1,2011
11098,100.68,2,6,94.68,1,2011
8047,44.28,3,0.42,43.86,1,2011
24068,64.35,3,-32.76,97.11,1,2011
11099,37.08,4,16.2,20.88,1,2011
12375,60.54,2,20.58,39.96,1,2011
45708,24,1,2.88,21.12,1,2011
39538,23.744,2,8.3104,15.4336,1,2011
32458,53.94,3,15.6426,38.2974,1,2011
